city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
sano,97,247.89137394226802,0.9030732134407293,282298.69664545485,350.22425601735404,61972843.485567,36114339.78749071,-43759628.425337315,80179916.73749024
sano,98,169.25206314760885,0.9254493150195825,192744.24951249696,2043.7589398802866,42313015.78690221,95923863.07902452,40345704.57059297,59382862.74637397
sano,99,312.1423879918252,0.9210223052449562,355467.7514450906,1657.3279441522282,78035596.9979563,90800314.15505444,-10479082.798624754,102744203.33403264
sano,100,360.1592947953063,0.8329939366953256,410149.4049128949,2088.430362813204,90039823.69882658,103072113.59856278,-13888901.840130419,126069434.22558194
sano,101,484.52261558706414,0.5457728798362499,551774.3546305486,1208.079277475179,121130653.89676604,89531000.39961293,-66891305.68310833,164804233.27090424
sano,102,42.4706460730937,0.9,48365.5717480391,28.451696938528244,10617661.518273424,32986829.225044765,19320442.69560468,13666386.52944009
sano,103,319.4812567108429,0.8999999999999999,363825.2551423079,1338.887305094362,79870314.17771073,85022812.48650071,-18431258.98560694,104699869.05074826
sano,104,323.56072888790163,0.9200437571032658,368470.9580575424,1826.087924838086,80890182.2219754,106350734.65763342,1303994.1196793616,107264556.65736248
sano,105,443.677250292557,0.9146915462428458,505259.65263316396,2750.1297773244187,110919312.57313925,150496115.2217529,6310290.032733202,152200486.28757173
sano,106,380.6916240041668,0.9159637554476939,433531.6214159451,5430.225952004133,95172906.0010417,186467805.5564291,60976636.68035677,167062493.79863575
sano,107,173.3189455990862,0.9232375399281231,197375.61524823937,184.2925495296388,43329736.39977155,39012974.20844102,-16797740.242806524,55820174.6105561
sano,108,546.35805706317,0.8979980255956423,622192.555383538,2920.5631235556248,136589514.2657925,141153414.02300444,-36132219.37579584,195319098.8884211
sano,109,239.64488774365358,0.7488397966893102,272907.5981624727,870.965215091931,59911221.9359134,71923212.01909871,-5601279.136272967,78990521.08332534
sano,110,161.64464567288198,0.9,184080.92249227798,1663.0313320782734,40411161.4182205,115424395.55556837,62511250.23877597,52913145.31679241
sano,111,211.79881343903804,0.8573354098979045,241196.48874437652,714.9492331983884,52949703.35975951,77341449.28009737,8856764.258696914,68484685.02140045
sano,112,321.3758275122162,0.5461679909985893,365982.7923709118,331.58918277861267,80343956.87805404,57475341.025128834,-46005553.46784186,103480894.4929707
sano,113,370.49423894889026,1.02689439199571,421918.83931499626,688.0129603439527,92623559.73722257,46302027.53657365,-73171351.41176683,120343553.74705157
sano,114,211.80842548922314,0.9344814977965235,241207.43494712733,2828.7328247773075,52952106.37230579,94335876.25372416,24626611.303607494,89990678.41544251
sano,115,276.9260220916342,0.8738144918645913,315363.35395795305,585.9075498071643,69231505.52290855,28358353.867270336,-60983462.03519532,90107360.2293311
sano,116,380.2878889627862,0.9180051677402182,433071.8479508209,1093.2610124284893,95071972.24069655,71173683.69572835,-51681526.99239838,123488520.51901563
sano,117,538.8346521301785,0.7952775398308026,613624.9018458473,12246.431593566318,134708663.0325446,350608787.38232493,170352021.90796757,318825851.0720279
sano,118,186.6869174436751,1.0563975955182747,212599.06158485723,187.20469321774976,46671729.360918775,14909504.955478303,-45199320.5628221,60108825.51830041
sano,119,57.82189954059482,0.8492190022744078,65847.57919682938,15.144572449540078,14455474.885148706,16489712.57683811,-2102833.489952691,18592546.066790797
sano,120,216.79938053575142,0.8527799696990421,246891.13455411373,697.6709134589992,54199845.13393786,72039372.40067638,1957503.9105108976,70468533.25041209
sano,121,215.21681307898862,0.8999999999999998,245088.90673435223,659.6523340220783,53804203.26974715,84786986.24170187,15235720.212578088,70907111.13975713
sano,122,463.9086404073645,0.8988808294387284,528299.1596959067,1222.01657723061,115977160.10184112,63360049.13076615,-86445037.74451989,152200866.61097476
sano,124,139.34850216146003,0.8871695826811663,158690.0742614707,62.060116839116404,34837125.54036501,18744740.64765574,-26077335.279774383,44822075.92743012
sano,126,139.4956524840122,0.8126289753565691,158857.6490487931,105.24209010608365,34873913.12100305,11852409.631894538,-33041913.528404728,44894323.160299264
sano,127,266.1785108074943,0.9188690477868201,303124.0881075745,449.05742106355456,66544627.70187358,31985579.07186434,-53822935.704379424,86016547.70121798
sano,128,401.11091097128815,0.8786205321100924,456785.10541410296,4748.653962176621,100277727.74282204,158683981.4115417,27023971.157842964,166516395.97594106
sano,129,292.5532716520333,0.9606941293139913,333159.6657573355,769.9173757347662,73138317.91300832,54767450.2227588,-39703252.98625809,97125031.26656173
sano,130,457.51827532644506,0.627626093239729,521021.81194175564,818.5535613893862,114379568.83161126,42877682.94952564,-104640409.82664543,157115980.34219068
sano,131,274.2147684466804,0.8397040762296504,312275.7783070796,455.7246822834031,68553692.1116701,22112214.74978935,-66282983.24002203,89388037.75554708
sano,132,463.94884995237686,0.9192347667301192,528344.9503257668,1328.0114286014814,115987212.48809421,50511449.58691928,-99367811.6925644,155795081.41238248
sano,133,348.10270276943334,0.964121173612766,396419.3579138307,1639.4244100145534,87025675.69235833,88465845.0931971,-24360749.115141988,117248181.20343387
sano,134,388.7493995972216,0.8435320825484411,442707.81626131595,1701.3955393597626,97187349.8993054,105416444.07839347,-20509694.397039026,136770958.2732595
sano,135,220.5568423494763,0.9261317245242211,251170.13206758362,823.9503735999369,55139210.58736908,52725350.79118819,-18637128.289904356,71173201.77844214
sano,136,695.9533863590157,0.9065300589477896,792551.7163856471,3766.9520862394857,173988346.58975393,128659108.28487524,-97195141.77478415,269208244.48135465
sano,137,357.31237685849146,0.9139127900594224,406907.33476645005,8679.574488393526,89328094.21462287,150937462.15564606,31082618.227917194,221621019.31049824
sano,138,529.228272602402,0.8504995653811873,602685.1568396153,3616.842261341939,132307068.1506005,102629504.12913343,-69553023.4752158,204075858.22835317
sano,139,197.67723141898097,0.8855342960215501,225114.83113993553,851.3280818753528,49419307.85474524,64362530.4783087,337672.70835252106,70049720.92173636
sano,140,600.2829032451231,0.9238066382664553,683602.1702155462,6388.388959997181,150070725.81128076,199524033.0595914,2903156.985396385,255163071.31001508
sano,141,93.07603427028306,0.8673713836625038,105994.98782699836,36.5597933315089,23269008.567570765,15114629.277697489,-14820870.881056331,29935500.158753812
sano,142,267.2027073514504,0.8480813154124903,304290.4431318317,1735.1220397284342,66800676.837862596,88423920.32426825,1543054.424121976,89301708.3591527
sano,143,422.6962059644208,0.8871616368217718,481366.43935228244,1138.197339956021,105674051.4911052,43976373.71286581,-92534717.07987761,140093713.61577195
sano,144,314.7581294362978,0.843423211448017,358446.55780205596,1843.3031026609042,78689532.35907444,106367866.92853478,4140308.760386288,105309614.73062895
sano,145,566.9413906697611,0.8991061917223758,645632.8556947239,1746.8170279812075,141735347.66744027,63175821.4748898,-120046965.12044656,194481038.9785583
sano,146,176.14911185074848,0.8700810464219993,200598.60857563236,552.9312074613908,44037277.96268712,62079172.10566435,5145825.2867672,57397391.788274534
