node,lat,lon,x_m,y_m,p_kw
881,36.3265986,139.5716366,371793.9091714976,4021120.789173771,0.0
882,36.32663960000001,139.5715033,371782.01096080884,4021125.5140972054,15.367442075797502
887,36.327649199999996,139.5723677,371861.2554695735,4021236.3642205205,12.412897385054393
890,36.32886539999999,139.5747495,372077.0384515076,4021368.124741734,0.0
891,36.3288749,139.5751764,372115.3726468763,4021368.613866426,0.0
4987,36.3320566,139.5831658,372837.67482464627,4021711.0254108533,68.04890210123284
4989,36.3323589,139.5826756,372794.16774896707,4021745.2047042614,81.40319738865614
4988,36.332098300000006,139.585063,373008.0285837176,4021713.157579996,127.40696340951897
4990,36.332448600000006,139.5846364,372970.3073195091,4021752.5771219055,120.33142675521819
4992,36.3326949,139.5821532,372747.8256970913,4021783.1649832865,73.68573778419756
4993,36.33284949999999,139.5850582,373008.81724656903,4021796.4952222076,82.19740145271412
4994,36.3330179,139.5839585,372910.3866058845,4021816.621039474,25.09305139808948
4991,36.3324862,139.58966160000003,373421.4101719355,4021750.1572113945,4.552536146988493
4996,36.333334799999996,139.5862894,373120.1114864741,4021848.7135121715,43.50803950742675
4995,36.333249,139.5884,373309.4094545489,4021836.4277914157,0.0
4997,36.3334094,139.5835082,372870.60600792326,4021860.6425574813,45.0611350523855
4998,36.33340840000001,139.5877972,373255.56335218414,4021854.9002734837,8.37715000983547
4999,36.333414399999995,139.587009,373184.8282458055,4021856.599465124,5.303269644690092
5001,36.333431399999995,139.5843235,372943.8189661173,4021862.0112547213,49.671317960458296
5002,36.3335114,139.5857036,373067.81955822057,4021869.0728745535,30.454732468118568
5003,36.33356009999999,139.58809,373282.0893398599,4021871.344680003,5.914186648265147
5004,36.33361200000001,139.5864406,373134.1320217853,4021879.265151971,8.097303315423005
5005,36.33379939999999,139.5830305,372828.36410562217,4021904.533917148,38.960629836726746
5000,36.33343729999999,139.5870213,373185.96935634763,4021859.1236498137,25.20380265589546
5006,36.3338261,139.5846651,372975.120201293,4021905.346834752,45.688648918601764
5008,36.3340263,139.58405570000002,372920.74906465533,4021928.356083566,39.1052669261782
5009,36.3341205,139.5873499,373216.57015545253,4021934.480698904,82.84698577025287
5007,36.333979699999986,139.5859218,373088.1638559245,4021920.735388654,50.18331603882095
