city,cluster,scenario,candidate,family,replicate,candidate_weight,feasible,issues,mv_drop_pct,lv_drop_pct,transformer_drop_pct,customer_min_pu,customer_max_pu,mv_loading_pct,transformer_loading_pct,power_balance_kw,npc_jpy,length_m,capex_trench_jpy,capex_conductor_jpy,capex_transformer_jpy,variable_loss_kwh_y,no_load_loss_kwh_y,conductor_inventory_json
yasu,22,S2_candidate,weight=0.3,weighted_steiner,-1,0.3,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,22,S2_candidate,weight=1,weighted_steiner,-1,1.0,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,22,S2_candidate,weight=3,weighted_steiner,-1,3.0,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,22,S2_candidate,weight=10,weighted_steiner,-1,10.0,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,22,S2_candidate,weight=30,weighted_steiner,-1,30.0,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,22,S2_candidate,weight=100,weighted_steiner,-1,100.0,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,22,S2_candidate,weight=300,weighted_steiner,-1,300.0,True,,0.43259071382277453,0.9236729808980504,1.7351215917741076,0.9710073582164842,0.9806969260974847,64.21700717155524,76.81958835521337,3.943512183468556e-13,494889401.4710109,635.9504606825942,241642569.10238913,18280637.011690486,80501033.31022832,41681.02480045728,21365.639999999996,"{""LV:100"":100.0,""LV:150"":875.0,""MV:38"":538.232247642,""MV:60"":97.718213041}"
yasu,23,S1,c023_r00_A_steiner.csv,A_steiner,0,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r01_A_steiner.csv,A_steiner,1,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r02_A_steiner.csv,A_steiner,2,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r03_A_steiner.csv,A_steiner,3,,True,,0.00614425269388834,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926575789772782,3.5667155468471154,70.73937347020829,8.881784197001252e-16,168657914.624151,351.33875801471663,93950813.70220749,12083468.950367916,15628677.900383316,3946.7621471394837,4380.0,"{""LV:150"":275.0,""MV:150"":351.338758015}"
yasu,23,S1,c023_r04_A_steiner.csv,A_steiner,4,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r05_A_steiner.csv,A_steiner,5,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r06_A_steiner.csv,A_steiner,6,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r07_A_steiner.csv,A_steiner,7,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r08_A_steiner.csv,A_steiner,8,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r09_A_steiner.csv,A_steiner,9,,True,,0.00614425269388834,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926575789772782,3.5667155468471154,70.73937347020829,8.881784197001252e-16,168657914.624151,351.33875801471663,93950813.70220749,12083468.950367916,15628677.900383316,3946.7621471394837,4380.0,"{""LV:150"":275.0,""MV:150"":351.338758015}"
yasu,23,S1,c023_r10_A_steiner.csv,A_steiner,10,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r11_A_steiner.csv,A_steiner,11,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r12_B_incremental.csv,B_incremental,12,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r13_B_incremental.csv,B_incremental,13,,True,,0.00614425269388834,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926575789772782,3.5667155468471154,70.73937347020829,8.881784197001252e-16,168657914.624151,351.33875801471663,93950813.70220749,12083468.950367916,15628677.900383316,3946.7621471394837,4380.0,"{""LV:150"":275.0,""MV:150"":351.338758015}"
yasu,23,S1,c023_r14_B_incremental.csv,B_incremental,14,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r15_B_incremental.csv,B_incremental,15,,True,,0.00614425269388834,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926575789772782,3.5667155468471154,70.73937347020829,8.881784197001252e-16,168657914.624151,351.33875801471663,93950813.70220749,12083468.950367916,15628677.900383316,3946.7621471394837,4380.0,"{""LV:150"":275.0,""MV:150"":351.338758015}"
yasu,23,S1,c023_r16_B_incremental.csv,B_incremental,16,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r17_B_incremental.csv,B_incremental,17,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r18_B_incremental.csv,B_incremental,18,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r19_B_incremental.csv,B_incremental,19,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
yasu,23,S1,c023_r20_B_incremental.csv,B_incremental,20,,True,,0.0034023395254955562,0.6489302061597646,1.5977879721142902,0.9794594833360141,0.9926696001615053,1.9735622561702975,70.73937347020829,2.6645352591003757e-15,167813386.5383281,347.76250955388275,93414376.43308242,11994062.73884707,15628677.900383316,3943.8355944073655,4380.0,"{""LV:150"":275.0,""MV:150"":347.762509554}"
