city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,s1_famA_npc,s1_famB_npc,tld
yasu,50,1,30.131540524920823,18.07892431495249,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,51,1,31.10413925989932,18.66248355593959,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,52,4,104.7808888197105,62.868533291826296,12,12,32148144.320784573,32148144.320784573,20316101.707409773,125.40803523092451,0.04204110278035041,0.12737883311767426,32148144.320784573,0.12737883311767426,12,0.04204110278035041,32148144.320784573,0.04204110278035041,32148144.320784573,0,20316101.707409777,0.04204110278035041,125.40803523092453,0.12737883311767426,0.0,True,0.0,32148144.320784573,32148144.320784573,0.0
yasu,53,1,19.118055909821347,11.470833545892807,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,54,3,60.20800029788318,36.124800178729906,12,12,13075068.656672815,13075068.656672815,6181008.190066959,38.154371543623206,0.021135076821644266,0.07408600671503598,13075068.656672815,0.07408600671503598,12,0.021135076821644266,13075068.656672817,0.021135076821644266,13075068.656672817,0,6181008.190066959,0.021135076821644266,38.154371543623206,0.07408600671503598,0.0,True,0.0,13075068.656672819,13075068.656672819,0.0
yasu,55,1,16.06488688123674,9.638932128742043,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,56,4,174.8239329245337,104.89435975472021,12,12,58419463.78364172,58419463.78364172,38990139.49342054,240.6798734161762,0.6756471569728698,1.0048261840420223,58419463.78364172,1.0048261840420223,12,0.6756471569728698,58419463.783641726,0.6756471569728697,58419463.783641726,0,38990139.49342054,0.6756471569728697,240.67987341617624,1.0048261840420223,0.0,True,0.0,58419463.78364172,58419463.78364172,0.0
yasu,57,1,48.533192950539366,29.11991577032362,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,58,5,220.4272614147817,132.25635684886902,12,12,51212985.18893651,51212985.18893651,33389310.051188838,206.10685216783227,0.8654480863879397,1.0817538679948422,51212985.18893651,1.0817538679948422,12,0.8654480863879397,51212985.18893652,0.8654480863879398,51212985.18893652,0,33389310.051188838,0.8654480863879398,206.10685216783233,1.0817538679948422,0.0,True,0.0,51212985.188936524,51212985.188936524,0.0
yasu,59,1,98.9116573497564,59.346994409853835,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
